id_municipio,poblacion
Peñalba de Ávila,104
Piedrahíta,1637
Piedralaves,2183
Poveda,30
Poyales del Hoyo,498
Pozanco,57
Pradosegar,109
Puerto Castilla,99
Rasueros,150
Riocabado,129
Riofrío,188
Rivilla de Barajas,59
Salobral,109
Salvadiós,67
San Bartolomé de Béjar,44
San Bartolomé de Corneja,32
San Bartolomé de Pinares,479
Sanchidrián,720
Sanchorreja,77
San Esteban de los Patos,19
San Esteban del Valle,735
San Esteban de Zapardiel,40
San García de Ingelmos,64
San Juan de la Encinilla,70
San Juan de la Nava,422
San Juan del Molinillo,238
San Juan del Olmo,73
San Lorenzo de Tormes,32
San Martín de la Vega del Alberche,163
San Martín del Pimpollar,221
San Miguel de Corneja,65
San Miguel de Serrezuela,103
San Pascual,44
San Pedro del Arroyo,516
Santa Cruz del Valle,295
Santa Cruz de Pinares,169
Santa María del Arroyo,103
Santa María del Berrocal,372
Santa María de los Caballeros,53
Santa María del Tiétar,582
Santiago del Collado,161
Santo Domingo de las Posadas,71
Santo Tomé de Zabarcos,70
San Vicente de Arévalo,171
"Serrada, La",132
Serranillos,247
Sigeres,41
Sinlabajos,134
Solana de Ávila,95
Solana de Rioalmar,141
Solosancho,750
Sotalbo,234
Sotillo de la Adrada,5081
"Tiemblo, El",4582
Tiñosillos,732
Tolbaños,87
Tormellas,35
Tornadizos de Ávila,458
Tórtoles,37
"Torre, La",209
Umbrías,100
Vadillo de la Sierra,50
Valdecasa,54
Vega de Santa María,88
Velayos,203
Villaflor,100
Villafranca de la Sierra,128
Villanueva de Gómez,119
Villanueva del Aceral,86
Villanueva del Campillo,107
Villar de Corneja,31
Villarejo del Valle,304
Villatoro,150
Viñegra de Moraña,49
Vita,81
Zapardiel de la Cañada,83
Zapardiel de la Ribera,90
San Juan de Gredos,219
Santa María del Cubillo,308
Diego del Carpio,107
Santiago del Tormes,104
Villanueva de Ávila,202
Acedera,815
Aceuchal,5307
Ahillones,793
Alange,1802
"Albuera, La",1995
Alburquerque,4928
Alconchel,1592
Alconera,748
Aljucén,252
Almendral,1202
Almendralejo,34587
Arroyo de San Serván,4001
Atalaya,258
Azuaga,7587
Badajoz,150209
Barcarrota,3456
Baterno,231
Benquerencia de la Serena,771
Berlanga,2171
Bienvenida,1999
Bodonal de la Sierra,982
Burguillos del Cerro,2940
Cabeza del Buey,4489
Cabeza la Vaca,1257
Calamonte,6104
Calera de León,912
Calzadilla de los Barros,679
Campanario,4702
Campillo de Llerena,1321
Capilla,142
Carmonita,514
"Carrascalejo, El",80
Casas de Don Pedro,1375
Casas de Reina,200
Castilblanco,820
Castuera,5457
"Codosera, La",1983
Cordobilla de Lácara,815
"Coronada, La",2136
Corte de Peleas,1153
Cristina,549
Cheles,1175
Don Álvaro,841
Don Benito,37986
Entrín Bajo,548
